Epoch 0/19----------Train Loss: tensor(6.7878, device='cuda:0')
Train Loss: tensor(7.7319, device='cuda:0')
Train Loss: tensor(8.4840, device='cuda:0')
Train Loss: tensor(7.5889, device='cuda:0')
Train Loss: tensor(7.5396, device='cuda:0')
Train Loss: tensor(8.4268, device='cuda:0')
Train Loss: tensor(8.0252, device='cuda:0')
Train Loss: tensor(8.5191, device='cuda:0')
Train Loss: tensor(8.2107, device='cuda:0')
Train Loss: tensor(8.0493, device='cuda:0')
Train Loss: tensor(8.0459, device='cuda:0')
Train Loss: tensor(8.6447, device='cuda:0')
Train Loss: tensor(8.6447, device='cuda:0')
Train Loss: tensor(8.3183, device='cuda:0')
Train Loss: tensor(8.0616, device='cuda:0')
Train Loss: tensor(8.6924, device='cuda:0')
Train Loss: tensor(8.1603, device='cuda:0')
Train Loss: tensor(7.8048, device='cuda:0')
Train Loss: tensor(8.0343, device='cuda:0')
Train Loss: tensor(8.2778, device='cuda:0')
Train Loss: tensor(8.5546, device='cuda:0')
Train Loss: tensor(7.6687, device='cuda:0')
Train Loss: tensor(8.4434, device='cuda:0')
Train Loss: tensor(7.6328, device='cuda:0')
Train Loss: tensor(8.0566, device='cuda:0')
Train Loss: tensor(8.1867, device='cuda:0')
Train Loss: tensor(8.0172, device='cuda:0')
Train Loss: tensor(7.7288, device='cuda:0')
Train Loss: tensor(8.0158, device='cuda:0')
Train Loss: tensor(7.6451, device='cuda:0')
Train Loss: tensor(7.3696, device='cuda:0')
Train Loss: tensor(8.1131, device='cuda:0')
Train Loss: tensor(7.2449, device='cuda:0')
Train Loss: tensor(7.7843, device='cuda:0')
Train Loss: tensor(8.1832, device='cuda:0')
Train Loss: tensor(8.8847, device='cuda:0')
Train Loss: tensor(8.8424, device='cuda:0')
Train Loss: tensor(7.9287, device='cuda:0')
Train Loss: tensor(8.8233, device='cuda:0')
Train Loss: tensor(8.2874, device='cuda:0')
Train Loss: tensor(8.4172, device='cuda:0')
Train Loss: tensor(7.9765, device='cuda:0')
Train Loss: tensor(7.8995, device='cuda:0')
Train Loss: tensor(7.3825, device='cuda:0')
Train Loss: tensor(8.1923, device='cuda:0')
Train Loss: tensor(7.9906, device='cuda:0')
Train Loss: tensor(7.6835, device='cuda:0')
Train Loss: tensor(8.8548, device='cuda:0')
Train Loss: tensor(8.3095, device='cuda:0')
Train Loss: tensor(7.3125, device='cuda:0')
Train Loss: tensor(6.7537, device='cuda:0')
Train Loss: tensor(7.0530, device='cuda:0')
Train Loss: tensor(6.9475, device='cuda:0')
train Loss: 8.0044 Prec: 0.0658EPOCH complete in 5m 30sval Loss: 7.5737 Prec: 0.1016EPOCH complete in 7m 9sEpoch 1/19----------Train Loss: tensor(6.4151, device='cuda:0')
Train Loss: tensor(7.3351, device='cuda:0')
Train Loss: tensor(8.0806, device='cuda:0')
Train Loss: tensor(7.2605, device='cuda:0')
Train Loss: tensor(7.1990, device='cuda:0')
Train Loss: tensor(8.0808, device='cuda:0')
Train Loss: tensor(7.6891, device='cuda:0')
Train Loss: tensor(8.1605, device='cuda:0')
Train Loss: tensor(7.8780, device='cuda:0')
Train Loss: tensor(7.7137, device='cuda:0')
Train Loss: tensor(7.7003, device='cuda:0')
Train Loss: tensor(8.3062, device='cuda:0')
Train Loss: tensor(8.2948, device='cuda:0')
Train Loss: tensor(7.9943, device='cuda:0')
Train Loss: tensor(7.7205, device='cuda:0')
Train Loss: tensor(8.3444, device='cuda:0')
Train Loss: tensor(7.8320, device='cuda:0')
Train Loss: tensor(7.4934, device='cuda:0')
Train Loss: tensor(7.7412, device='cuda:0')
Train Loss: tensor(7.9810, device='cuda:0')
Train Loss: tensor(8.2349, device='cuda:0')
Train Loss: tensor(7.3692, device='cuda:0')
Train Loss: tensor(8.1357, device='cuda:0')
Train Loss: tensor(7.3301, device='cuda:0')
