Train Loss: tensor(6.9575, device='cuda:0')
Train Loss: tensor(5.9860, device='cuda:0')
Train Loss: tensor(6.8890, device='cuda:0')
Train Loss: tensor(6.2540, device='cuda:0')
Train Loss: tensor(6.5316, device='cuda:0')
Train Loss: tensor(6.6861, device='cuda:0')
Train Loss: tensor(6.4921, device='cuda:0')
Train Loss: tensor(6.2003, device='cuda:0')
Train Loss: tensor(6.1979, device='cuda:0')
Train Loss: tensor(6.2460, device='cuda:0')
Train Loss: tensor(6.0846, device='cuda:0')
Train Loss: tensor(6.3865, device='cuda:0')
Train Loss: tensor(5.4721, device='cuda:0')
Train Loss: tensor(6.0912, device='cuda:0')
Train Loss: tensor(6.6371, device='cuda:0')
Train Loss: tensor(7.6214, device='cuda:0')
Train Loss: tensor(7.0736, device='cuda:0')
Train Loss: tensor(6.1272, device='cuda:0')
Train Loss: tensor(7.1763, device='cuda:0')
Train Loss: tensor(6.6839, device='cuda:0')
Train Loss: tensor(6.7467, device='cuda:0')
Train Loss: tensor(5.8285, device='cuda:0')
Train Loss: tensor(6.1336, device='cuda:0')
Train Loss: tensor(5.7455, device='cuda:0')
Train Loss: tensor(6.3307, device='cuda:0')
Train Loss: tensor(6.3574, device='cuda:0')
Train Loss: tensor(5.9528, device='cuda:0')
Train Loss: tensor(6.9865, device='cuda:0')
Train Loss: tensor(6.8057, device='cuda:0')
Train Loss: tensor(5.6950, device='cuda:0')
Train Loss: tensor(5.0867, device='cuda:0')
Train Loss: tensor(5.3748, device='cuda:0')
Train Loss: tensor(4.6658, device='cuda:0')
train Loss: 6.3405 Prec: 0.1835EPOCH complete in 13m 8sval Loss: 6.2297 Prec: 0.2233EPOCH complete in 13m 60sEpoch 3/19----------Train Loss: tensor(4.6863, device='cuda:0')
Train Loss: tensor(5.4372, device='cuda:0')
Train Loss: tensor(6.3796, device='cuda:0')
Train Loss: tensor(5.5720, device='cuda:0')
Train Loss: tensor(5.5030, device='cuda:0')
Train Loss: tensor(6.2328, device='cuda:0')
Train Loss: tensor(6.1878, device='cuda:0')
Train Loss: tensor(6.2942, device='cuda:0')
Train Loss: tensor(6.0851, device='cuda:0')
Train Loss: tensor(5.9102, device='cuda:0')
Train Loss: tensor(5.9162, device='cuda:0')
Train Loss: tensor(6.5784, device='cuda:0')
Train Loss: tensor(6.5226, device='cuda:0')
Train Loss: tensor(6.2688, device='cuda:0')
Train Loss: tensor(6.0212, device='cuda:0')
Train Loss: tensor(6.6213, device='cuda:0')
Train Loss: tensor(6.2704, device='cuda:0')
Train Loss: tensor(6.0953, device='cuda:0')
Train Loss: tensor(6.2270, device='cuda:0')
Train Loss: tensor(6.5987, device='cuda:0')
Train Loss: tensor(6.6318, device='cuda:0')
Train Loss: tensor(5.6415, device='cuda:0')
Train Loss: tensor(6.5216, device='cuda:0')
Train Loss: tensor(5.9039, device='cuda:0')
Train Loss: tensor(6.2112, device='cuda:0')
Train Loss: tensor(6.3249, device='cuda:0')
Train Loss: tensor(6.1575, device='cuda:0')
Train Loss: tensor(5.9302, device='cuda:0')
Train Loss: tensor(5.8598, device='cuda:0')
Train Loss: tensor(5.9123, device='cuda:0')
Train Loss: tensor(5.7618, device='cuda:0')
Train Loss: tensor(6.0465, device='cuda:0')
Train Loss: tensor(5.1889, device='cuda:0')
Train Loss: tensor(5.7754, device='cuda:0')
Train Loss: tensor(6.3296, device='cuda:0')
Train Loss: tensor(7.3061, device='cuda:0')
Train Loss: tensor(6.7678, device='cuda:0')
Train Loss: tensor(5.8164, device='cuda:0')
Train Loss: tensor(6.8210, device='cuda:0')
Train Loss: tensor(6.3702, device='cuda:0')
Train Loss: tensor(6.4219, device='cuda:0')
Train Loss: tensor(5.5260, device='cuda:0')
Train Loss: tensor(5.8170, device='cuda:0')
Train Loss: tensor(5.4529, device='cuda:0')
Train Loss: tensor(6.0517, device='cuda:0')
Train Loss: tensor(6.0460, device='cuda:0')
Train Loss: tensor(5.6526, device='cuda:0')
Train Loss: tensor(6.6669, device='cuda:0')
Train Loss: tensor(6.5077, device='cuda:0')
Train Loss: tensor(5.4139, device='cuda:0')
Train Loss: tensor(4.8764, device='cuda:0')
Train Loss: tensor(5.1173, device='cuda:0')
Train Loss: tensor(4.3059, device='cuda:0')
train Loss: 6.0102 Prec: 0.2744EPOCH complete in 17m 26sval Loss: 6.0515 Prec: 0.2398EPOCH complete in 18m 19sEpoch 4/19----------Train Loss: tensor(4.4855, device='cuda:0')
Train Loss: tensor(5.1576, device='cuda:0')
Train Loss: tensor(6.0988, device='cuda:0')
Train Loss: tensor(5.2960, device='cuda:0')
Train Loss: tensor(5.2533, device='cuda:0')
Train Loss: tensor(5.9578, device='cuda:0')
Train Loss: tensor(5.9115, device='cuda:0')
Train Loss: tensor(6.0292, device='cuda:0')
Train Loss: tensor(5.8047, device='cuda:0')
Train Loss: tensor(5.6832, device='cuda:0')
Train Loss: tensor(5.6394, device='cuda:0')
Train Loss: tensor(6.3121, device='cuda:0')
Train Loss: tensor(6.2297, device='cuda:0')
Train Loss: tensor(6.0242, device='cuda:0')
Train Loss: tensor(5.7481, device='cuda:0')
Train Loss: tensor(6.3325, device='cuda:0')
Train Loss: tensor(6.0027, device='cuda:0')
Train Loss: tensor(5.8379, device='cuda:0')
Train Loss: tensor(5.9767, device='cuda:0')
Train Loss: tensor(6.3347, device='cuda:0')
Train Loss: tensor(6.3810, device='cuda:0')
Train Loss: tensor(5.3828, device='cuda:0')
Train Loss: tensor(6.2357, device='cuda:0')
Train Loss: tensor(5.6416, device='cuda:0')
Train Loss: tensor(5.9770, device='cuda:0')
Train Loss: tensor(6.0493, device='cuda:0')
Train Loss: tensor(5.9110, device='cuda:0')
Train Loss: tensor(5.7189, device='cuda:0')
Train Loss: tensor(5.6113, device='cuda:0')
Train Loss: tensor(5.6547, device='cuda:0')
Train Loss: tensor(5.5188, device='cuda:0')
Train Loss: tensor(5.7887, device='cuda:0')
Train Loss: tensor(4.9805, device='cuda:0')
Train Loss: tensor(5.5404, device='cuda:0')
Train Loss: tensor(6.0906, device='cuda:0')
Train Loss: tensor(7.0538, device='cuda:0')
Train Loss: tensor(6.5355, device='cuda:0')
Train Loss: tensor(5.5826, device='cuda:0')
Train Loss: tensor(6.5596, device='cuda:0')
Train Loss: tensor(6.1250, device='cuda:0')
Train Loss: tensor(6.1713, device='cuda:0')
Train Loss: tensor(5.3018, device='cuda:0')
Train Loss: tensor(5.5674, device='cuda:0')
Train Loss: tensor(5.2349, device='cuda:0')
Train Loss: tensor(5.8278, device='cuda:0')
Train Loss: tensor(5.8126, device='cuda:0')
Train Loss: tensor(5.4135, device='cuda:0')
Train Loss: tensor(6.4128, device='cuda:0')
Train Loss: tensor(6.2803, device='cuda:0')
Train Loss: tensor(5.1996, device='cuda:0')
Train Loss: tensor(4.7091, device='cuda:0')
Train Loss: tensor(4.9204, device='cuda:0')
Train Loss: tensor(4.0159, device='cuda:0')
train Loss: 5.7608 Prec: 0.3099EPOCH complete in 21m 44sval Loss: 5.9355 Prec: 0.2462EPOCH complete in 22m 36sEpoch 5/19----------Train Loss: tensor(4.3360, device='cuda:0')
Train Loss: tensor(4.9410, device='cuda:0')
Train Loss: tensor(5.8822, device='cuda:0')
Train Loss: tensor(5.0765, device='cuda:0')
Train Loss: tensor(5.0581, device='cuda:0')
Train Loss: tensor(5.7361, device='cuda:0')
Train Loss: tensor(5.6994, device='cuda:0')
Train Loss: tensor(5.8247, device='cuda:0')
Train Loss: tensor(5.5807, device='cuda:0')
Train Loss: tensor(5.5032, device='cuda:0')
Train Loss: tensor(5.4279, device='cuda:0')
Train Loss: tensor(6.0979, device='cuda:0')
Train Loss: tensor(6.0004, device='cuda:0')
Train Loss: tensor(5.8321, device='cuda:0')
Train Loss: tensor(5.5373, device='cuda:0')
Train Loss: tensor(6.1031, device='cuda:0')
Train Loss: tensor(5.7957, device='cuda:0')
Train Loss: tensor(5.6342, device='cuda:0')
Train Loss: tensor(5.7700, device='cuda:0')
Train Loss: tensor(6.1206, device='cuda:0')
Train Loss: tensor(6.1776, device='cuda:0')
Train Loss: tensor(5.1807, device='cuda:0')
Train Loss: tensor(6.0065, device='cuda:0')
Train Loss: tensor(5.4349, device='cuda:0')
Train Loss: tensor(5.7907, device='cuda:0')
Train Loss: tensor(5.8295, device='cuda:0')
Train Loss: tensor(5.7172, device='cuda:0')
Train Loss: tensor(5.5402, device='cuda:0')
Train Loss: tensor(5.4165, device='cuda:0')
Train Loss: tensor(5.4473, device='cuda:0')
Train Loss: tensor(5.3247, device='cuda:0')
Train Loss: tensor(5.5788, device='cuda:0')
Train Loss: tensor(4.8118, device='cuda:0')
Train Loss: tensor(5.3531, device='cuda:0')
Train Loss: tensor(5.8928, device='cuda:0')
Train Loss: tensor(6.8391, device='cuda:0')
Train Loss: tensor(6.3408, device='cuda:0')
Train Loss: tensor(5.3907, device='cuda:0')
Train Loss: tensor(6.3548, device='cuda:0')
Train Loss: tensor(5.9233, device='cuda:0')
Train Loss: tensor(5.9641, device='cuda:0')
Train Loss: tensor(5.1226, device='cuda:0')
Train Loss: tensor(5.3590, device='cuda:0')
Train Loss: tensor(5.0609, device='cuda:0')
Train Loss: tensor(5.6347, device='cuda:0')
Train Loss: tensor(5.6256, device='cuda:0')
Train Loss: tensor(5.2142, device='cuda:0')
Train Loss: tensor(6.2003, device='cuda:0')
Train Loss: tensor(6.0937, device='cuda:0')
Train Loss: tensor(5.0233, device='cuda:0')
Train Loss: tensor(4.5669, device='cuda:0')
Train Loss: tensor(4.7587, device='cuda:0')
Train Loss: tensor(3.7763, device='cuda:0')
train Loss: 5.5605 Prec: 0.3275EPOCH complete in 25m 60sval Loss: 5.8569 Prec: 0.2462EPOCH complete in 26m 53sEpoch 6/19----------Train Loss: tensor(4.2131, device='cuda:0')
Train Loss: tensor(4.7645, device='cuda:0')
Train Loss: tensor(5.7054, device='cuda:0')
Train Loss: tensor(4.8935, device='cuda:0')
Train Loss: tensor(4.8934, device='cuda:0')
Train Loss: tensor(5.5477, device='cuda:0')
Train Loss: tensor(5.5257, device='cuda:0')
Train Loss: tensor(5.6539, device='cuda:0')
Train Loss: tensor(5.3931, device='cuda:0')
Train Loss: tensor(5.3517, device='cuda:0')
Train Loss: tensor(5.2564, device='cuda:0')
Train Loss: tensor(5.9140, device='cuda:0')
Train Loss: tensor(5.8108, device='cuda:0')
Train Loss: tensor(5.6699, device='cuda:0')
Train Loss: tensor(5.3645, device='cuda:0')
Train Loss: tensor(5.9122, device='cuda:0')
Train Loss: tensor(5.6240, device='cuda:0')
Train Loss: tensor(5.4601, device='cuda:0')
Train Loss: tensor(5.5914, device='cuda:0')
Train Loss: tensor(5.9373, device='cuda:0')
Train Loss: tensor(6.0058, device='cuda:0')
Train Loss: tensor(5.0133, device='cuda:0')
Train Loss: tensor(5.8159, device='cuda:0')
Train Loss: tensor(5.2615, device='cuda:0')
Train Loss: tensor(5.6325, device='cuda:0')
Train Loss: tensor(5.6446, device='cuda:0')
Train Loss: tensor(5.5528, device='cuda:0')
Train Loss: tensor(5.3785, device='cuda:0')
Train Loss: tensor(5.2523, device='cuda:0')
Train Loss: tensor(5.2709, device='cuda:0')
Train Loss: tensor(5.1605, device='cuda:0')
Train Loss: tensor(5.3986, device='cuda:0')
Train Loss: tensor(4.6656, device='cuda:0')
Train Loss: tensor(5.1920, device='cuda:0')
Train Loss: tensor(5.7202, device='cuda:0')
Train Loss: tensor(6.6473, device='cuda:0')
Train Loss: tensor(6.1669, device='cuda:0')
Train Loss: tensor(5.2250, device='cuda:0')
Train Loss: tensor(6.1832, device='cuda:0')
Train Loss: tensor(5.7503, device='cuda:0')
Train Loss: tensor(5.7839, device='cuda:0')
Train Loss: tensor(4.9720, device='cuda:0')
Train Loss: tensor(5.1773, device='cuda:0')
Train Loss: tensor(4.9119, device='cuda:0')
Train Loss: tensor(5.4645, device='cuda:0')
Train Loss: tensor(5.4662, device='cuda:0')
Train Loss: tensor(5.0399, device='cuda:0')
Train Loss: tensor(6.0164, device='cuda:0')
Train Loss: tensor(5.9294, device='cuda:0')
Train Loss: tensor(4.8697, device='cuda:0')
Train Loss: tensor(4.4392, device='cuda:0')
Train Loss: tensor(4.6186, device='cuda:0')
Train Loss: tensor(3.5720, device='cuda:0')
train Loss: 5.3902 Prec: 0.3350EPOCH complete in 30m 18sval Loss: 5.8020 Prec: 0.2682EPOCH complete in 31m 11sEpoch 7/19----------Train Loss: tensor(4.1045, device='cuda:0')
Train Loss: tensor(4.6139, device='cuda:0')
Train Loss: tensor(5.5511, device='cuda:0')
Train Loss: tensor(4.7345, device='cuda:0')
