Epoch 0/19----------Train Loss: tensor(4.4856, device='cuda:0')
Train Loss: tensor(5.0543, device='cuda:0')
Train Loss: tensor(5.9404, device='cuda:0')
Train Loss: tensor(5.3386, device='cuda:0')
Train Loss: tensor(5.1071, device='cuda:0')
Train Loss: tensor(5.9261, device='cuda:0')
Train Loss: tensor(5.6834, device='cuda:0')
Train Loss: tensor(6.0560, device='cuda:0')
Train Loss: tensor(5.6502, device='cuda:0')
Train Loss: tensor(5.6118, device='cuda:0')
Train Loss: tensor(5.5305, device='cuda:0')
Train Loss: tensor(6.2250, device='cuda:0')
Train Loss: tensor(6.0480, device='cuda:0')
Train Loss: tensor(5.9237, device='cuda:0')
Train Loss: tensor(5.4437, device='cuda:0')
Train Loss: tensor(6.1177, device='cuda:0')
Train Loss: tensor(5.7073, device='cuda:0')
Train Loss: tensor(5.5463, device='cuda:0')
Train Loss: tensor(5.8453, device='cuda:0')
Train Loss: tensor(6.0045, device='cuda:0')
Train Loss: tensor(6.3069, device='cuda:0')
Train Loss: tensor(5.3048, device='cuda:0')
Train Loss: tensor(5.9281, device='cuda:0')
Train Loss: tensor(5.3525, device='cuda:0')
Train Loss: tensor(5.7270, device='cuda:0')
Train Loss: tensor(5.6695, device='cuda:0')
Train Loss: tensor(5.5840, device='cuda:0')
Train Loss: tensor(5.5391, device='cuda:0')
Train Loss: tensor(5.3548, device='cuda:0')
Train Loss: tensor(5.3501, device='cuda:0')
Train Loss: tensor(5.3195, device='cuda:0')
Train Loss: tensor(5.4500, device='cuda:0')
Train Loss: tensor(4.8483, device='cuda:0')
Train Loss: tensor(5.3238, device='cuda:0')
Train Loss: tensor(5.9362, device='cuda:0')
Train Loss: tensor(6.7790, device='cuda:0')
Train Loss: tensor(6.5386, device='cuda:0')
Train Loss: tensor(5.4263, device='cuda:0')
Train Loss: tensor(6.4124, device='cuda:0')
Train Loss: tensor(5.9577, device='cuda:0')
Train Loss: tensor(5.9162, device='cuda:0')
Train Loss: tensor(5.3291, device='cuda:0')
Train Loss: tensor(5.3262, device='cuda:0')
Train Loss: tensor(5.1055, device='cuda:0')
Train Loss: tensor(5.7689, device='cuda:0')
Train Loss: tensor(5.7263, device='cuda:0')
Train Loss: tensor(5.2324, device='cuda:0')
Train Loss: tensor(6.3766, device='cuda:0')
Train Loss: tensor(6.0830, device='cuda:0')
Train Loss: tensor(5.0113, device='cuda:0')
Train Loss: tensor(4.7171, device='cuda:0')
Train Loss: tensor(4.9295, device='cuda:0')
Train Loss: tensor(4.0449, device='cuda:0')
train Loss: 5.6023 Prec: 0.2777EPOCH complete in 4m 20sval Loss: 5.6885 Prec: 0.3682EPOCH complete in 5m 14sEpoch 1/19----------Train Loss: tensor(3.2465, device='cuda:0')
Train Loss: tensor(3.8661, device='cuda:0')
Train Loss: tensor(4.8463, device='cuda:0')
